ClassName,nbBugs
org.eclipse.jetty.osgi.test.TestJettyOSGiBootCore,1
org.eclipse.jetty.server.HttpChannelState,2
org.eclipse.jetty.websocket.common.CloseInfo,1
org.eclipse.jetty.websocket.common.WebSocketSession,1
org.eclipse.jetty.websocket.common.io.IOState,1
org.eclipse.jetty.proxy.AsyncProxyServlet,4
org.eclipse.jetty.proxy.ProxyServletFailureTest,1
org.eclipse.jetty.start.BaseHome,1
org.eclipse.jetty.start.Main,1
org.eclipse.jetty.start.Module,1
org.eclipse.jetty.start.Modules,1
org.eclipse.jetty.start.Props,1
org.eclipse.jetty.start.StartArgs,1
org.eclipse.jetty.start.StartLog,1
org.eclipse.jetty.util.CompletableCallback,1
org.eclipse.jetty.client.http.HttpReceiverOverHTTP,1
org.eclipse.jetty.servlet.ServletHolder,1
org.eclipse.jetty.http.HttpParser,1
org.eclipse.jetty.proxy.ProxyServletTest,1
org.eclipse.jetty.websocket.server.PerMessageDeflateExtensionTest,2
org.eclipse.jetty.client.HttpClientTest,1
org.eclipse.jetty.client.HttpConnectionLifecycleTest,1
org.eclipse.jetty.fcgi.server.proxy.FastCGIProxyServletTest,1
